slug,domain,primary_segment,primary_pocket,primary_team,sha256,source_path
accessibility-adaptation,shared-execution,learn,learningos,t02,32de8e3b7fec54d256f0afe670fe44387009e9e42e1d1fb98929831e0693ff1f,.bob/skills/accessibility-adaptation/SKILL.md
accessibility-coverage-audit,shared-execution,learn,educationos,assurance,e6bb40a4ef1d046c3f3880b9fc2a78030af1dd5d62645578b2f10404600bcc8e,.bob/skills/accessibility-coverage-audit/SKILL.md
accounting-accounts-payable-analyst,accounting,run,executiveos,integration,f52e0e2d92fc3221ee10bb74dec967d9984fe21e24676c10f06ced03834386b6,.bob/skills/accounting-accounts-payable-analyst/SKILL.md
accounting-accounts-receivable-analyst,accounting,run,executiveos,integration,9118f8beb9e510c269805360a31c192288b0ec68294471fe32447f74b24ade36,.bob/skills/accounting-accounts-receivable-analyst/SKILL.md
accounting-audit-preparation-specialist,accounting,run,executiveos,assurance,90faa0e4b9cbc05e2711fd398f695dc1b64abf3a55b40e81cbb2ca22fce9df72,.bob/skills/accounting-audit-preparation-specialist/SKILL.md
accounting-bookkeeping-specialist,accounting,run,executiveos,integration,25df2499264f3b34bf11f532a90838912723362a1adf0c2b0398fe156fc0343c,.bob/skills/accounting-bookkeeping-specialist/SKILL.md
accounting-controller-advisor,accounting,run,executiveos,integration,f0a7c4997c558bc0fca8ceb79521df2cb960bf7a40a2a95ad86bc93c9253ede0,.bob/skills/accounting-controller-advisor/SKILL.md
accounting-expense-classification-specialist,accounting,run,executiveos,integration,7ab3dbc2c06d6af1f5de2d080af9b8ec77963e94ea4bd2207947863af98f3900,.bob/skills/accounting-expense-classification-specialist/SKILL.md
accounting-financial-reporting-specialist,accounting,run,executiveos,integration,ce6519ffd32b41e3a170cd6834696f1960c9db30e6e02281acf633019847b805,.bob/skills/accounting-financial-reporting-specialist/SKILL.md
accounting-general-ledger-specialist,accounting,run,executiveos,integration,19d0fa5ba1330060bdb0ae1e8004ae11204d40f8129575051837c264fc8fa419,.bob/skills/accounting-general-ledger-specialist/SKILL.md
